"","plot","measure1","meansure2","value","ID"
"1","location_name_1",785.28978349641,87,2.17728003536918,"A"
"2","location_name_1",6.87901210039854,88,2.45612857540654,"B"
"3","location_name_1",263.793020276353,91,1.67998764509005,"C"
"4","location_name_1",683.496062876657,60,0.805350689457006,"D"
"5","location_name_1",936.917481711134,100,2.20002408391193,"E"
"6","location_name_1",469.434167025611,76,2.97494387489373,"F"
"7","location_name_1",524.743704590946,98,2.87614150972816,"G"
"8","location_name_1",781.531574204564,4,2.88048652087073,"H"
"9","location_name_1",627.193673280999,69,0.650211803134664,"I"
"10","location_name_1",737.63032653369,54,2.51601968574288,"J"
"11","location_name_1",239.364598877728,83,0.572119321231811,"K"
"12","location_name_1",628.668207442388,97,0.554033266679199,"L"
"13","location_name_1",809.747853782028,21,1.35789402260234,"M"
"14","location_name_1",193.907883949578,44,2.8029806064337,"N"
"15","location_name_1",725.368005223572,14,3.4096075861266,"O"
"16","location_name_1",148.42598955147,33,1.97955219270943,"P"
"17","location_name_1",944.401095854118,92,1.2503558945066,"Q"
"18","location_name_1",725.278218043968,21,1.83827076384866,"R"
"19","location_name_1",682.489104336128,66,1.54318975736574,"S"
"20","location_name_1",861.56568559818,20,2.86033365793754,"T"
"21","location_name_1",703.96618777886,42,2.94728377076263,"U"
"22","location_name_1",619.89173758775,73,1.5201017933359,"V"
"23","location_name_1",147.037561284378,86,3.15400466292054,"W"
"24","location_name_1",349.814219167456,6,1.55051743450701,"X"
"25","location_name_1",410.707079106942,44,2.16529857595372,"Y"
"26","location_name_1",683.952669613063,20,3.27907703023855,"Z"
"27","location_name_1",530.108880950138,56,1.13402135741861,"A"
"28","location_name_1",692.055587889627,44,1.64344501742164,"B"
"29","location_name_1",585.019643418491,29,1.72187326998595,"C"
"30","location_name_1",362.975861644372,88,1.91582301726242,"D"
"31","location_name_1",500.380362616852,61,2.08304613121006,"E"
"32","location_name_1",482.412983197719,34,1.06741682931752,"F"
"33","location_name_1",55.3371161222458,76,2.14345721646298,"G"
"34","location_name_1",16.7254533153027,54,3.18182138688403,"H"
